window,variable,pre_etf,post_etf,change,abs_change
60,Miner_Revenue_to_Cap_MA30,0.7455461241399924,-0.13821305285581692,-0.8837591769958093,0.8837591769958093
60,Avg_Fee_Per_Tx_MA30,0.6687825623381204,-0.21305175847821065,-0.8818343208163311,0.8818343208163311
60,OIL,-0.6602380070327594,0.21783074847805345,0.8780687555108129,0.8780687555108129
60,Active_Addresses_MA90,0.19513032617216272,-0.6491101559781577,-0.8442404821503204,0.8442404821503204
60,bc_mempool_size,0.33075964285178727,-0.43640583872810496,-0.7671654815798923,0.7671654815798923
60,Difficulty_Compression,0.8061980281064245,0.07360867092088268,-0.7325893571855419,0.7325893571855419
60,NVT_Ratio,-0.0002910974940198732,0.574803457668256,0.5750945551622759,0.5750945551622759
60,IWM,0.04864586099755639,0.6166086678564809,0.5679628068589245,0.5679628068589245
60,Avg_Fee_Per_Tx,0.4066751639168557,-0.1403991984121104,-0.5470743623289661,0.5470743623289661
60,bc_transaction_fees,0.3536892481790769,-0.17557241141444294,-0.5292616595935198,0.5292616595935198
60,T10Y2Y,0.08638601454271085,-0.39807070158680824,-0.48445671612951907,0.48445671612951907
60,Hash_Price_MA90,0.03256680631346113,0.515635876332944,0.4830690700194829,0.4830690700194829
60,BAMLH0A0HYM2,-0.09365463089534513,-0.5537357398174071,-0.46008110892206194,0.46008110892206194
60,BSV,0.5165505604542375,0.058002882633784995,-0.4585476778204525,0.4585476778204525
60,bc_n_transactions,0.23945970134327418,-0.21099033593049116,-0.4504500372737653,0.4504500372737653
60,M2SL,0.14235953164356255,0.5754999161478495,0.43314038450428693,0.43314038450428693
60,Miner_Revenue_to_Cap,0.29276866868192936,-0.13097512650914964,-0.42374379519107896,0.42374379519107896
60,VIX,-0.21292674915540763,0.17570996478975584,0.38863671394516347,0.38863671394516347
60,VIXCLS,-0.2130016423505118,0.17312220402649275,0.3861238463770046,0.3861238463770046
60,SPX,0.18055603201693193,0.5574142997439385,0.3768582677270066,0.3768582677270066
60,RRPONTSYD,-0.8476804553401711,-0.48081223112205923,0.3668682242181119,0.3668682242181119
60,ATR,0.7536268543980442,0.3909381411833857,-0.3626887132146585,0.3626887132146585
60,volatility_20d,0.3404017291717011,-0.012480049727819865,-0.35288177889952094,0.35288177889952094
60,DIA,0.2343988418613691,0.5288548399629889,0.29445599810161976,0.29445599810161976
60,SMA30_marketcap,0.6619156607051855,0.36907734403123776,-0.2928383166739477,0.2928383166739477
60,Difficulty_MA30,0.8812561558842753,0.5893689893911475,-0.29188716649312785,0.29188716649312785
60,SMA20_marketcap,0.7286237298700501,0.4417171750831894,-0.28690655478686067,0.28690655478686067
60,Puell_Multiple,0.651617798505834,0.3706533339185946,-0.2809644645872394,0.2809644645872394
60,WTREGEN,0.21171396079525331,-0.06301023808465966,-0.27472419887991295,0.27472419887991295
60,Difficulty_MA60,0.8752600629002376,0.6075906311544793,-0.2676694317457583,0.2676694317457583
60,Difficulty_MA90,0.8693512295721179,0.6048326751873362,-0.26451855438478167,0.26451855438478167
60,bc_total_bitcoins,0.8632932034449721,0.613546529674443,-0.24974667377052906,0.24974667377052906
60,UUP,-0.1250198961378136,0.11733384498584458,0.2423537411236582,0.2423537411236582
60,bc_miners_revenue,0.7288048804344367,0.49438514373745446,-0.23441973669698224,0.23441973669698224
60,Hash_Ribbon_MA60,0.8735374377531419,0.6392361824494444,-0.2343012553036975,0.2343012553036975
60,bc_hash_rate,0.3813349931762377,0.1513867027301089,-0.2299482904461288,0.2299482904461288
60,DGS10,-0.17896009866080018,0.04972415956981325,0.22868425823061342,0.22868425823061342
60,BAMLC0A0CM,-0.08259257573996881,-0.30665088842916055,-0.22405831268919174,0.22405831268919174
60,Mempool_Stress,0.06434617489651806,-0.15564723031256164,-0.2199934052090797,0.2199934052090797
60,MACD_diff,0.21939052980143053,0.4363827636842747,0.21699223388284417,0.21699223388284417
60,Hash_Price,0.7490493416582639,0.5358005562860875,-0.2132487853721764,0.2132487853721764
60,bc_difficulty,0.8248919489302209,0.6210351289698063,-0.2038568199604146,0.2038568199604146
60,LQD,0.23271511692608798,0.032211583808936683,-0.2005035331171513,0.2005035331171513
60,WALCL,-0.8449739487360748,-0.6448027110463164,0.20017123768975842,0.20017123768975842
60,FED_NET_LIQUIDITY,-0.8449786060117309,-0.6448981411923153,0.20008046481941566,0.20008046481941566
60,Price_MA200,0.816867023127625,0.6217475196057208,-0.19511950352190421,0.19511950352190421
60,QQQ,0.2403368096698619,0.4323533887828583,0.19201657911299638,0.19201657911299638
60,EMA200_volume,0.36587801806730835,0.5558501399173348,0.18997212185002643,0.18997212185002643
60,EURUSD,0.2749902490797011,0.09593355953156583,-0.17905668954813525,0.17905668954813525
60,EMA30_marketcap,0.751396411877482,0.5775403347182925,-0.1738560771591895,0.1738560771591895
60,Hash_Ribbon_MA30,0.8618880435927277,0.6907450693191106,-0.17114297427361713,0.17114297427361713
60,SOFR,0.2332230835266457,0.06814129833062174,-0.16508178519602396,0.16508178519602396
60,DXY,-0.2762313146868251,-0.11395227127948364,0.16227904340734145,0.16227904340734145
60,EMA20_marketcap,0.7786305172315195,0.6180539482635748,-0.1605765689679447,0.1605765689679447
60,GLD,0.48906359390188947,0.3365529774936645,-0.152510616408225,0.152510616408225
60,BB_high,0.8160580248344256,0.6646411079094575,-0.15141691692496806,0.15141691692496806
60,GOLD,0.48485625757529077,0.3376541905767347,-0.1472020669985561,0.1472020669985561
60,DEXUSEU,0.28861561194274343,0.14561848006975028,-0.14299713187299315,0.14299713187299315
60,EMA14_marketcap,0.7929057904119687,0.6602010996731634,-0.1327046907388053,0.1327046907388053
60,SMA20_close,0.8303302545377843,0.70061169923448,-0.12971855530330434,0.12971855530330434
60,BB_mid,0.8303302545377843,0.70061169923448,-0.12971855530330434,0.12971855530330434
60,ROC,0.38955175105751566,0.5185520635450273,0.1290003124875116,0.1290003124875116
60,Hash_Ribbon_Spread,0.16269589224779057,0.2898175804716888,0.12712168822389824,0.12712168822389824
60,Price_to_MA200,0.9792482902712714,0.8551899127983215,-0.1240583774729499,0.1240583774729499
60,HYG,0.3310014267304421,0.45255020911982013,0.12154878238937805,0.12154878238937805
60,MFI,0.280138151187262,0.3976220249841337,0.1174838737968717,0.1174838737968717
60,SMA10_marketcap,0.7549199148817248,0.6429714432111429,-0.11194847167058197,0.11194847167058197
60,Volume,0.4008985012239159,0.5074867346578337,0.10658823343391777,0.10658823343391777
60,SMA30_close,0.7476466660961247,0.6412211955123968,-0.10642547058372798,0.10642547058372798
60,EMA200_close,0.7315511261668004,0.6253525100028295,-0.10619861616397086,0.10619861616397086
60,CPIAUCSL,0.7387536198136431,0.6345267161530684,-0.10422690366057463,0.10422690366057463
60,CCI,0.29548788846734214,0.3986013328037645,0.10311344433642233,0.10311344433642233
60,EMA10_marketcap,0.7939237707149466,0.6938214843939033,-0.10010228632104323,0.10010228632104323
60,RSI,0.4155532020518679,0.5127149137416802,0.0971617116898123,0.0971617116898123
60,BB_width,0.27708987010233527,0.36710709759203314,0.09001722748969787,0.09001722748969787
60,fear_greed_index,0.7289505100886493,0.6430591474508558,-0.08589136263779351,0.08589136263779351
60,EMA200_marketcap,0.5055366552178272,0.5850514684777252,0.07951481325989795,0.07951481325989795
60,SMA10_close,0.8981352178760156,0.8195196179126916,-0.07861559996332401,0.07861559996332401
60,market_cap_approx,0.5465446274433328,0.6226924960927048,0.07614786864937206,0.07614786864937206
60,DTWEXBGS,-0.21789678300677887,-0.14465821781010857,0.0732385651966703,0.0732385651966703
60,EMA30_close,0.8092086414580882,0.737291605094208,-0.07191703636388025,0.07191703636388025
60,EMA20_close,0.8660509256242498,0.7941885514078391,-0.07186237421641073,0.07186237421641073
60,EMA100_volume,0.5975615137417994,0.5323117761251599,-0.06524973761663955,0.06524973761663955
60,Stoch_D,0.39117063759827125,0.3278490154040109,-0.06332162219426035,0.06332162219426035
60,EMA14_close,0.9049838735215394,0.8439738020543155,-0.061010071467223925,0.061010071467223925
60,Williams_R,0.3912158808610551,0.33267534291740747,-0.05854053794364761,0.05854053794364761
60,Stoch_K,0.3912158808566537,0.3326753429189841,-0.05854053793766961,0.05854053793766961
60,EMA100_marketcap,0.6314873595362747,0.5773190393213755,-0.054168320214899146,0.054168320214899146
60,Active_Addresses_Change,-0.02030615414875215,0.03291814219938809,0.053224296348140236,0.053224296348140236
60,bc_market_cap,0.9332856208350139,0.8820565075654564,-0.05122911326955748,0.05122911326955748
60,SILVER,0.18015838279700525,0.22945209819391654,0.0492937153969113,0.0492937153969113
60,EMA10_close,0.9324857846304433,0.8855104942877098,-0.04697529034273351,0.04697529034273351
60,SMA5_marketcap,0.731079900672006,0.6860187800091805,-0.04506112066282553,0.04506112066282553
60,daily_return,0.16063233686614767,0.2044865763088997,0.04385423944275202,0.04385423944275202
60,MACD_signal,0.5720322339889903,0.5313450376469311,-0.040687196342059195,0.040687196342059195
60,MACD,0.5967791038517329,0.6338445123424681,0.03706540849073514,0.03706540849073514
60,SMA5_close,0.9523705434593446,0.915418428768496,-0.03695211469084858,0.03695211469084858
60,ETH,0.8053300058632371,0.770710810720224,-0.03461919514301315,0.03461919514301315
60,Open,0.9561269151615123,0.9217566696959676,-0.03437024546554468,0.03437024546554468
60,BB_low,0.5358785870109221,0.5020054155362635,-0.033873171474658514,0.033873171474658514
60,ADX,0.29931398020378824,0.3330290780024158,0.03371509779862758,0.03371509779862758
60,EMA5_marketcap,0.7526667217914206,0.7199268260921532,-0.032739895699267385,0.032739895699267385
60,TLT,0.18626172330001392,0.15898286929873365,-0.027278854001280273,0.027278854001280273
60,EMA5_close,0.9703608213506515,0.9490117756110693,-0.021349045739582184,0.021349045739582184
60,EMA100_close,0.6616306889976857,0.6407222202043966,-0.020908468793289114,0.020908468793289114
60,T10Y3M,-0.05138545506504847,-0.03077456990888983,0.02061088515615864,0.02061088515615864
60,OBV,0.8713007550620872,0.8909978149418982,0.019697059879811074,0.019697059879811074
60,High,0.9862093815614961,0.9710559693999956,-0.015153412161500457,0.015153412161500457
60,Low,0.9783454999055121,0.9632945275158935,-0.015050972389618611,0.015050972389618611
60,bc_n_unique_addresses,0.027209291375035013,0.013712866879412679,-0.013496424495622335,0.013496424495622335
60,volume_change,0.020665092875396644,0.017895960953092926,-0.002769131922303717,0.002769131922303717
60,NVT_Ratio_MA90,0.7618181898485606,0.7623812823536833,0.0005630925051226532,0.0005630925051226532
60,cumulative_return,0.9999999999997277,0.9999999999998924,1.6475709685437323e-13,1.6475709685437323e-13
